 iter	year	species	age	number	catch
           1          19           1          10   10869995.0       116218.641    
           1          19           1          11   2251428.50       24116.6621    
           1          19           1          12   1433522.62       15697.8164    
           1          19           1          13   1300033.62       14234.5850    
           1          19           1          14   1020263.19       11245.8721    
           1          19           1          15   467970.531       5318.07617    
           1          19           1          16   1245304.50       14247.5020    
           1          19           1          17   226539.734       2599.94775    
           1          19           1          18   187171.516       2149.63745    
           1          19           1          19   209982.000       2412.76196    
           1          19           1          20   186114.375       2138.98169    
           1          20           1           0   29968716.0                  NaN
           1          20           1           1   44981788.0       64845.5859    
           1          20           1           2   43320564.0       141632.516    
           1          20           1           3   27398240.0       132104.922    
           1          20           1           4   17526366.0       99884.2734    
           1          20           1           5   39630320.0       251639.250    
           1          20           1           6   8991164.00       62669.7344    
           1          20           1           7   7060164.00       52772.8516    
           1          20           1           8   5587292.00       43332.0898    
           1          20           1           9   4119611.00       32895.3438    
           1          20           1          10   3307364.75       26918.6094    
           1          20           1          11   7981807.50       64934.7773    
           1          20           1          12   1650499.25       13765.4697    
           1          20           1          13   1049947.38       8759.36035    
           1          20           1          14   951812.125       7992.07031    
           1          20           1          15   745559.625       6422.30127    
           1          20           1          16   341270.094       2970.29004    
           1          20           1          17   907758.375       7917.38965    
           1          20           1          18   165098.500       1441.69067    
           1          20           1          19   136400.344       1191.43970    
           1          20           1          20   153017.953       1336.87012    
           1          21           1           0   107009000.                  NaN
           1          21           1           1   45814848.0       69025.5547    
           1          21           1           2   35741820.0       123423.789    
           1          21           1           3   33672044.0       174279.906    
           1          21           1           4   20990576.0       130473.133    
           1          21           1           5   13303003.0       91952.3672    
           1          21           1           6   29869842.0       224072.219    
           1          21           1           7   6729949.50       54745.7383    
           1          21           1           8   5263052.00       44217.7344    
           1          21           1           9   4153389.25       35829.8906    
           1          21           1          10   3055516.50       26926.4043    
           1          21           1          11   2451509.00       21660.0898    
           1          21           1          12   5906831.00       53400.0195    
           1          21           1          13   1220549.00       11032.4961    
           1          21           1          14   776158.125       7050.63184    
           1          21           1          15   702087.438       6564.39160    
           1          21           1          16   549213.312       5173.32812    
           1          21           1          17   251248.953       2374.82910    
           1          21           1          18   668225.875       6320.45752    
           1          21           1          19   121523.773       1150.08301    
           1          21           1          20   100398.367       950.239746    
           1          22           1           0   37217596.0                  NaN
           1          22           1           1   163775232.       211149.672    
           1          22           1           2   36526320.0       101305.977    
           1          22           1           3   27920630.0       115123.578    
           1          22           1           4   25935192.0       126663.516    
           1          22           1           5   16007686.0       88820.6719    
           1          22           1           6   10079909.0       61303.5039    
           1          22           1           7   22503596.0       147248.250    
           1          22           1           8   5047571.50       34264.5195    
           1          22           1           9   3937949.50       27473.7031    
           1          22           1          10   3101257.00       22140.2012    
           1          22           1          11   2279934.00       16269.0312    
           1          22           1          12   1826723.00       13331.4775    
           1          22           1          13   4398264.00       32069.5508    
           1          22           1          14   908486.500       6667.56299    
           1          22           1          15   576671.125       4359.27881    
           1          22           1          16   520860.844       3969.37109    
           1          22           1          17   407288.062       3110.60571    
           1          22           1          18   186285.141       1424.48792    
           1          22           1          19   495429.188       3789.33179    
           1          22           1          20   90095.5625       689.289429    
           1          23           1           0   45293820.0                  NaN
           1          23           1           1   56720948.0       117844.734    
           1          23           1           2   129254000.       617486.625    
           1          23           1           3   28117506.0       204000.531    
           1          23           1           4   21176688.0       177798.359    
           1          23           1           5   19444386.0       185866.719    
           1          23           1           6   11886994.0       124626.719    
           1          23           1           7   7425847.00       83734.5156    
           1          23           1           8   16501887.0       192478.578    
           1          23           1           9   3688542.50       44254.6992    
           1          23           1          10   2870026.75       35205.3008    
           1          23           1          11   2258691.00       27737.2441    
           1          23           1          12   1656611.50       20878.7207    
           1          23           1          13   1326425.00       16730.7246    
           1          23           1          14   3192243.00       40476.9297    
           1          23           1          15   657503.312       8576.07422    
           1          23           1          16   416657.531       5482.89258    
           1          23           1          17   376149.969       4962.86719    
           1          23           1          18   294091.781       3883.07227    
           1          23           1          19   134499.750       1776.80469    
           1          23           1          20   357699.062       4725.88525    
           1          24           1           0   34093912.0                  NaN
           1          24           1           1   68385192.0       267329.031    
           1          24           1           2   43562024.0       377213.125    
           1          24           1           3   94944896.0       1245274.00    
           1          24           1           4   20100146.0       306608.312    
           1          24           1           5   14853692.0       256870.469    
           1          24           1           6   13402106.0       255875.047    
           1          24           1           7   8078913.50       166480.250    
           1          24           1           8   5004236.50       106819.023    
           1          24           1           9   11055266.0       243321.703    
           1          24           1          10   2460354.50       55178.1562    
           1          24           1          11   1913292.00       42781.7539    
           1          24           1          12   1499055.00       34471.2695    
           1          24           1          13   1098263.12       25229.5000    
           1          24           1          14   878301.375       20321.6992    
           1          24           1          15   2103072.50       50134.3398    
           1          24           1          16   432004.781       10378.9873    
           1          24           1          17   273502.125       6591.14697    
           1          24           1          18   246838.328       5954.59229    
           1          24           1          19   192973.578       4656.48633    
           1          24           1          20   88249.0156       2129.89551    
           1          25           1           0   29138602.0                  NaN
           1          25           1           1   51663576.0       165824.391    
           1          25           1           2   52297080.0       373007.000    
           1          25           1           3   31702868.0       330168.219    
           1          25           1           4   66760092.0       812372.750    
           1          25           1           5   13845099.0       190828.156    
           1          25           1           6   10041909.0       153236.922    
           1          25           1           7   8920149.00       146180.344    
           1          25           1           8   5321478.50       90239.6797    
           1          25           1           9   3275716.25       57154.1602    
           1          25           1          10   7196850.50       128336.156    
           1          25           1          11   1599817.38       28499.0352    
           1          25           1          12   1240158.25       22705.0625    
           1          25           1          13   969522.188       17681.5547    
           1          25           1          14   709534.375       13074.3867    
           1          25           1          15   564996.562       10699.5576    
           1          25           1          16   1347546.12       25753.0410    
           1          25           1          17   276529.594       5296.75342    
           1          25           1          18   174988.750       3355.82446    
           1          25           1          19   157904.594       3029.48462    
           1          25           1          20   123441.406       2368.56470    
           1          26           1           0   26989534.0                  NaN
           1          26           1           1   44320176.0       111158.281    
           1          26           1           2   40113528.0       215619.406    
           1          26           1           3   38992656.0       313442.906    
           1          26           1           4   23037530.0       219242.312    
           1          26           1           5   47720676.0       509645.344    
           1          26           1           6   9745872.00       116028.766    
           1          26           1           7   6986301.50       88531.0234    
           1          26           1           8   6155411.00       81243.7266    
           1          26           1           9   3654514.00       49607.9102    
           1          26           1          10   2241081.75       31024.7852    
           1          26           1          11   4915809.50       68093.4141    
           1          26           1          12   1090341.00       15465.0859    
           1          26           1          13   843458.125       11976.9990    
           1          26           1          14   659235.812       9420.67285    
           1          26           1          15   480562.781       7070.73926    
           1          26           1          16   381621.656       5657.31934    
           1          26           1          17   909284.750       13521.3867    
           1          26           1          18   186546.875       2776.11646    
           1          26           1          19   118031.023       1757.33972    
           1          26           1          20   106501.953       1585.97522    
           1          27           1           0   97177264.0                  NaN
           1          27           1           1   41138032.0       86474.8594    
           1          27           1           2   34701036.0       164400.781    
           1          27           1           3   30416374.0       213305.312    
           1          27           1           4   28997774.0       230965.359    
           1          27           1           5   16883690.0       153332.688    
           1          27           1           6   34601068.0       340854.688    
           1          27           1           7   6989397.50       74645.5469    
           1          27           1           8   4980780.50       55217.7031    
           1          27           1           9   4370292.00       49624.8047    
           1          27           1          10   2586291.75       30029.4453    
           1          27           1          11   1584554.12       18365.4277    
           1          27           1          12   3467915.00       41255.8984    
           1          27           1          13   768226.562       9135.06445    
           1          27           1          14   593918.312       7103.13867    
           1          27           1          15   462858.531       5700.34717    
           1          27           1          16   336590.875       4181.68408    
           1          27           1          17   267133.125       3325.33813    
           1          27           1          18   636303.875       7930.21533    
           1          27           1          19   130533.477       1627.35425    
           1          27           1          20   82586.6484       1029.79065    
           1          28           1           0   31502434.0                  NaN
           1          28           1           1   148644640.       206256.406    
           1          28           1           2   32578982.0       103960.930    
           1          28           1           3   26795662.0       124268.852    
           1          28           1           4   23116726.0       123886.703    
           1          28           1           5   21834142.0       132413.406    
           1          28           1           6   12592218.0       84589.7656    
           1          28           1           7   25640990.0       184784.766    
           1          28           1           8   5150492.50       38572.3320    
           1          28           1           9   3659816.00       28074.9609    
           1          28           1          10   3203949.50       25109.6562    
           1          28           1          11   1893838.62       14879.2549    
           1          28           1          12   1158948.38       9306.58398    
           1          28           1          13   2532928.25       20397.7910    
           1          28           1          14   560888.812       4550.91748    
           1          28           1          15   432830.500       3602.58423    
           1          28           1          16   336661.344       2826.85059    
           1          28           1          17   244672.453       2060.51904    
           1          28           1          18   194156.156       1636.16736    
